Usage,Popularity,Name,ID
745139003890465.8,500000,{exploration},placeholder:exploration
10000000192000,0,Canola,actuallyadditions:item_misc:13
10000000000000,0,Canola Oil,fluid:canolaoil
2000000000000,0,Refined Canola Oil,fluid:refinedcanolaoil
1044028055800,1000,Water,fluid:water
1001000000000,0,Sulfur Dioxide,fluid:sulfur_dioxide
1000998000000,0,Hydrogen,fluid:hydrogen
199800000000,0,Hydrogen,fluid:ic2hydrogen
146081820000,0,{rf},placeholder:rf
60000009000,0,Liquifacted Coal,fluid:coal
47952002304,0,Molten Boron,fluid:boron
4156632499.5636363,0,,placeholder:ticks
2664000588,0,Advanced Plating,nuclearcraft:part:1
2002000000,0,Crystallized Canola Seed,actuallyadditions:item_misc:23
2000000000,0,Crystallized Oil,fluid:crystaloil
1581813906.6,0,,placeholder:fight
1332000202,0,Andesite,minecraft:stone:5
1332000035,1,Bucket,minecraft:bucket:0
1332000000,0,Beryllium Ingot,nuclearcraft:ingot:9
1332000000,0,Beryllium Dust,nuclearcraft:dust:9
1004000000,0,Heavy Water,fluid:heavywater
1000022000,0,Life Essence,fluid:lifeessence
1000000000,0,Sulfur Dioxide,nuclearcraft:fluid_sulfur_dioxide:0
750360000,0,Crude Oil,fluid:crude_oil
750000000,0,Crude Oil,thermalfoundation:fluid_crude_oil:0
746501799,0,Glowstone Dust,minecraft:glowstone_dust:0
666000000,0,Nitrogen,fluid:nitrogen
666000000,0,Nitrogen Collector,nuclearcraft:nitrogen_collector:0
500972000,0,Liquid Oxygen,fluid:liquidoxygen
500000000,0,Oxygen,gas:oxygen
333000000,0,Diborane,fluid:diborane
320767236,0,Lapis Lazuli Ore,minecraft:lapis_ore:0
320001554,0,Lapis Lazuli Dust,ic2:dust:9
300000000,0,Naphtha,fluid:refined_oil
288456192,0,Molten Sugar,fluid:sugar
188213002,0,Empowered Phosphor,contenttweaker:empowered_phosphor:0
186624044,0,Glowstone,minecraft:glowstone:0
186624000,0,Energized Glowstone,fluid:glowstone
98762500,0,Liquid Glass,fluid:glass
96001392,1,Sand,minecraft:sand:0
54000011.32,0,Amber,thaumcraft:amber:0
48048000,0,Neutron Fluid,fluid:neutron
40000000,0,IC2 Coolant,fluid:ic2coolant
20852640,0,Molten Aluminum Brass,fluid:alubrass
20000000,0,Brine,fluid:brine
17728004,0,"Rat §o""Nugget""",rats:rat_nugget:0
16001000,0,Sulfuric Acid,fluid:sulfuric_acid
12800001,1,Helium Collector,nuclearcraft:helium_collector:0
12800000,0,Helium,fluid:helium
12022001,0,Lava,fluid:lava
11000064,0,Vitium,aspect:Vitium
10836525,0,Redstone,minecraft:redstone:0
10512000,0,Dark Liquid,fluid:dark_matter
10204001,1,Canola Seeds,actuallyadditions:item_canola_seed:0
10006105,0,Menril Wood,integrateddynamics:menril_log:0
10000000,0,Syngas,fluid:syngas
10000000,0,Gasoline,fluid:gasoline
6291600,0,Molten Enderium,fluid:enderium
6000001,0,Amber Block,thaumcraft:amber_block:0
6000000,0,Amber,fluid:amber
5761152,0,Molten Fluxed Electrum,fluid:fluxed_electrum
5760800,0,Molten Manyullyn,fluid:manyullyn
5003000,0,Liquid Sunshine,fluid:liquid_sunshine
4878000,0,Molten Iron,fluid:iron
4159567,0,Tin Ingot,thermalfoundation:material:129
3734784,0,Tin Nugget,"thermalfoundation:material:193:{display:{Lore:[""§d§l32%""]}}"
3009419,0,Glass,minecraft:glass:0
2986128,0,Seared Stone,fluid:stone
2592001,0,Slimy Leaves,tconstruct:slime_leaves:1
2592000,0,Liquid Purple Slime,fluid:purpleslime
2183040,0,Essence of Knowledge,fluid:experience
2000002,0,Empowered Canola Seed,actuallyadditions:item_misc:24
2000000,0,Liquid D-T Fuel,fluid:liquidfusionfuel
2000000,0,Refined Fuel,fluid:refined_fuel
2000000,0,Empowered Oil,fluid:empoweredoil
2000000,0,D-T Fuel,gas:fusionfuel
2000000,0,Tritium,gas:tritium
2000000,0,Deuterium,gas:deuterium
2000000,0,Lithium,gas:lithium
2000000,0,Liquid Lithium,fluid:liquidlithium
2000000,0,Carbon Dioxide,fluid:carbon_dioxide
1866318,0,Copper Ingot,thermalfoundation:material:128
1824768,0,Ground Cocoa Nibs,nuclearcraft:ground_cocoa_nibs:0
1679616,0,Copper Nugget,"thermalfoundation:material:192:{display:{Lore:[""§d§l50%""]}}"
1536004,0,Weed,ic2:crop_res:5
1327104,0,Hot Eutectic NaK-Cryotheum Mixture,fluid:cryotheum_nak_hot
1327104,0,Gelided Fruit,ic2:dust:36
1244000,0,Destabilized Redstone,fluid:redstone
1152370,0,Block of Redstone,minecraft:redstone_block:0
1001117,0,Clay,minecraft:clay_ball:0
1000144,0,Aqua,aspect:Aqua
1000067,0,Bronze Ingot,thermalfoundation:material:163
1000000,0,Sulfur Trioxide,fluid:sulfur_trioxide
1000000,0,Liquid Antimatter,fluid:blockfluidantimatter
1000000,0,Flux Goo,fluid:flux_goo
1000000,0,Bottle of Taint,thaumcraft:bottle_taint:0
1000000,0,Phial of Vitium Essentia,"thaumcraft:phial:1:{Aspects:[{key:""vitium"",amount:10}]}"
1000000,0,Glass Phial,thaumcraft:phial:0
912390,0,Cocoa Beans,minecraft:dye:3
912384,0,Molten Unsweetened Chocolate,fluid:unsweetened_chocolate
912384,0,Chocolate Liquor,fluid:chocolate_liquor
912384,0,Cocoa Butter,fluid:cocoa_butter
912384,0,Roasted Cocoa Beans,nuclearcraft:roasted_cocoa_beans:0
792000,0,Milk,fluid:milk
778788,0,Metallum,aspect:Metallum
778772,0,Ordo,aspect:Ordo
767232,0,Molten Lapis,fluid:lapis
767232,0,Native Lapis Lazuli Cluster,jaopca:item_clusterlapis:0
747648,0,Molten Refined Obsidian,fluid:refined_obsidian
746784,0,Molten Osmium,fluid:osmium
746530,0,Osmium Dust,mekanism:dust:2
746496,0,Molten Refined Glowstone,fluid:refined_glowstone
720025,0,Mirion Ingot,plustic:mirioningot:0
720000,0,Molten Mirion,fluid:mirion
666000,0,Ammonia,fluid:ammonia
666000,0,Boric Acid,fluid:boric_acid
663654,8,Obsidian,minecraft:obsidian:0
663552,0,Rat Pelt,rats:rat_pelt:0
584000,0,Liquid Starlight,fluid:astralsorcery.liquidstarlight
576000,0,Fiery Essence,fluid:fiery_essence
576000,0,Angry Chicken Soul,"draconicevolution:mob_soul:0:{EntityName:""excompressum:angry_chicken""}"
499968,0,Molten Clay,fluid:clay
484704,0,Mundane Belt,thaumcraft:baubles:2
456324,0,Sugar,minecraft:sugar:0
456192,0,Molten Brass,fluid:brass
456192,0,Molten Dark Chocolate,fluid:dark_chocolate
433520,0,Ender Pearl,minecraft:ender_pearl:0
432214,0,§cSupremium Ingot,mysticalagriculture:crafting:37
432000,0,Resonant Ender,fluid:ender
432000,0,Molten Supremium,fluid:supremium
432000,0,§cSupremium Nugget,mysticalagriculture:crafting:44
415872,0,Molten Tin,fluid:tin
400040,0,Lumium Ingot,thermalfoundation:material:166
361000,0,Liquid Meat,fluid:meat
332928,0,Molten End Steel,fluid:end_steel
272448,0,Molten Copper,fluid:copper
251436,0,Leather,minecraft:leather:0
249120,0,Molten Dark Steel,fluid:dark_steel
224180,0,Blood,fluid:blood
207755,0,Steel Ingot,thermalfoundation:material:160
192637,0,Glass Pane,minecraft:glass_pane:0
192044,0,Carrot,minecraft:carrot:0
192044,0,Seeds,minecraft:wheat_seeds:0
192042,1,Dirt,minecraft:dirt:0
192001,1,Blueberry,harvestcraft:blueberryitem:0
192001,1,Blackberry,harvestcraft:blackberryitem:0
192000,0,Bronze Electron Tube,forestry:thermionic_tubes:2
192000,0,Blueberry Seed,harvestcraft:blueberryseeditem:0
192000,0,Blackberry Seed,harvestcraft:blackberryseeditem:0
192000,0,Inferium Seeds,mysticalagriculture:tier1_inferium_seeds:0
171360,0,Molten Obsidian,fluid:obsidian
169344,0,Molten Steel,fluid:steel
166888,0,UU-Matter,fluid:ic2uu_matter
