Usage,Popularity,Name,ID
424218.0778026925min,0,{Ticks},placeholder:ticks
126236.71606060606,0,Emerald,minecraft:emerald:0
79903.81261046388Damage,0,{Fight},placeholder:fight
41541,0,Fluix Crystal,appliedenergistics2:material:7
40974,0,Hard Carbon Alloy,nuclearcraft:alloy:2
40648.88888888889,0,Signalum Ingot,thermalfoundation:material:165
40528,0,Bottle o' Enchanting,minecraft:experience_bottle:0
40295,0,Block of Quartz,minecraft:quartz_block:0
40216.88888888889,0,Invar Ingot,thermalfoundation:material:162
40122.38888888889,0,Enderium Ingot,thermalfoundation:material:167
40120.27777777778,0,Gold Ingot,minecraft:gold_ingot:0
40067.88888888889,0,Lead Ingot,thermalfoundation:material:131
40065.22222222222,0,Aluminum Ingot,thermalfoundation:material:132
40065,0,Magnesium Diboride Alloy,nuclearcraft:alloy:3
40038.28888888889,0,Steel Ingot,thermalfoundation:material:160
40032.23318116815,0,Black Quartz,actuallyadditions:item_misc:5
40024.88888888889,0,Lumium Ingot,thermalfoundation:material:166
40023.88888888889,0,Bronze Ingot,thermalfoundation:material:163
40021,0,Electrum Ingot,thermalfoundation:material:161
40017.88888888889,0,Platinum Ingot,thermalfoundation:material:134
40008.88888888889,0,Ardite Ingot,tconstruct:ingots:1
40005.88888888889,0,Silver Ingot,thermalfoundation:material:130
40005.11111111111,0,Cobalt Ingot,tconstruct:ingots:0
40004.555555555555,0,Uranium Ingot,immersiveengineering:metal:5
40002.88888888889,0,Constantan Ingot,thermalfoundation:material:164
40002.666666666664,0,Manyullyn Ingot,tconstruct:ingots:2
40000.88888888889,0,Fluxed Electrum Ingot,redstonearsenal:material:32
40000.88888888889,0,Mana Infused Ingot,thermalfoundation:material:136
40000.88888888889,0,Thorium Ingot,nuclearcraft:ingot:3
10042,0,Piston,minecraft:piston:0
8572.42857142857,1,<entity:minecraft:cow>,entity:minecraft:cow
8040,0,{Xp},placeholder:xp
7793.25,0,Enriched Alloy,mekanism:enrichedalloy:0
7300,0,Garbage Pile,rats:garbage_pile:0
6912,0,Ardite Ore Piece,exnihilocreatio:item_ore_ardite:0
6600,0,Ball of Fur,actuallyadditions:item_hairy_ball:0
5875.138888888889,0,Tin Ingot,thermalfoundation:material:129
